Year,flow
03/12/1979,506.3
04/12/1979,490.9
05/12/1979,440
06/12/1979,444
07/12/1979,727.8
08/12/1979,1410.6
09/12/1979,998.9
10/12/1979,797.7
11/12/1979,713.9
12/12/1979,661.3
13/12/1979,675.1
14/12/1979,757.1
15/12/1979,733.3
16/12/1979,658.7
17/12/1979,609.5
18/12/1979,583.5
19/12/1979,524.7
20/12/1979,517.7
21/12/1979,491.8
22/12/1979,485
23/12/1979,487.6
24/12/1979,534.5
25/12/1979,591.5
26/12/1979,658.7
27/12/1979,737
28/12/1979,835.6
29/12/1979,879.4
30/12/1979,966
31/12/1979,1417.9
01/01/1980,1165
02/01/1980,990.7
03/01/1980,899.2
04/01/1980,888.7
05/01/1980,913.6
06/01/1980,938.2
07/01/1980,1022.6
08/01/1980,1291.6
09/01/1980,1251.9
10/01/1980,1507.4
11/01/1980,2157
12/01/1980,2052.6
13/01/1980,1867.6
14/01/1980,1722.6
15/01/1980,1696.5
16/01/1980,2076.4
17/01/1980,1958.5
18/01/1980,1597.3
19/01/1980,1452
20/01/1980,1364.5
21/01/1980,1324.7
22/01/1980,1478.7
23/01/1980,1295.9
24/01/1980,1314.7
25/01/1980,1233
26/01/1980,1271
27/01/1980,1199.9
28/01/1980,1166.7
29/01/1980,1143.3
30/01/1980,1025.2
31/01/1980,994.9
01/02/1980,900.7
02/02/1980,810.4
03/02/1980,818
04/02/1980,795.3
05/02/1980,854
06/02/1980,843.9
07/02/1980,853.1
08/02/1980,777.6
09/02/1980,730.1
10/02/1980,731.8
11/02/1980,908.1
12/02/1980,858.1
13/02/1980,744.7
14/02/1980,719.4
15/02/1980,645.9
16/02/1980,713.5
17/02/1980,762.4
18/02/1980,713.6
19/02/1980,674.2
20/02/1980,646.2
21/02/1980,577.1
22/02/1980,579.6
23/02/1980,572.8
24/02/1980,559.6
25/02/1980,553.1
26/02/1980,550.6
27/02/1980,524.1
28/02/1980,515.4
29/02/1980,495.1
01/03/1980,473.9
02/03/1980,462.2
03/03/1980,457
04/03/1980,468.5
05/03/1980,436.4
06/03/1980,459.9
07/03/1980,427.3
08/03/1980,458.3
09/03/1980,445.2
10/03/1980,419.8
11/03/1980,423.3
12/03/1980,420.7
13/03/1980,396.4
14/03/1980,398.1
15/03/1980,386.9
16/03/1980,380.5
17/03/1980,365.3
18/03/1980,352.4
19/03/1980,386.8
20/03/1980,328.5
21/03/1980,338.6
22/03/1980,334.5
23/03/1980,351.5
24/03/1980,333.6
25/03/1980,302
26/03/1980,294.3
27/03/1980,292.1
28/03/1980,317.7
29/03/1980,307.9
30/03/1980,277.9
31/03/1980,296.5
01/04/1980,276.2
02/04/1980,260.1
03/04/1980,262.1
04/04/1980,257.2
05/04/1980,279.5
06/04/1980,250.3
07/04/1980,254.9
08/04/1980,263.7
09/04/1980,266.6
10/04/1980,248.4
11/04/1980,224.2
12/04/1980,233.2
13/04/1980,235.5
14/04/1980,228.3
15/04/1980,230.8
16/04/1980,234.3
17/04/1980,213.9
18/04/1980,191.2
19/04/1980,210.2
20/04/1980,205.2
21/04/1980,193.1
22/04/1980,209.8
23/04/1980,205.2
24/04/1980,203.3
25/04/1980,182.7
26/04/1980,182.8
27/04/1980,184.9
28/04/1980,177.6
29/04/1980,168.5
30/04/1980,169.1
01/05/1980,169.5
02/05/1980,164.9
03/05/1980,165.3
04/05/1980,164.9
05/05/1980,169.2
06/05/1980,147.1
07/05/1980,155.1
08/05/1980,154.7
09/05/1980,150.1
10/05/1980,158.9
11/05/1980,133.8
12/05/1980,156.7
13/05/1980,136.7
14/05/1980,141.2
15/05/1980,143
16/05/1980,152.8
17/05/1980,139.7
18/05/1980,125.5
19/05/1980,144.5
20/05/1980,115.3
21/05/1980,147
22/05/1980,125.8
23/05/1980,126
24/05/1980,124.3
25/05/1980,119.7
26/05/1980,126.1
27/05/1980,114.6
28/05/1980,116.3
29/05/1980,120.2
30/05/1980,107
31/05/1980,119.2
01/06/1980,122.2
02/06/1980,112
03/06/1980,106.3
04/06/1980,107.3
05/06/1980,114.1
06/06/1980,108
07/06/1980,103.4
08/06/1980,103.2
09/06/1980,102.3
10/06/1980,97.5
11/06/1980,103
12/06/1980,98.1
13/06/1980,92.4
14/06/1980,91.9
15/06/1980,91.9
16/06/1980,87.2
17/06/1980,90.8
18/06/1980,96.2
19/06/1980,91.2
20/06/1980,62.3
21/06/1980,89.7
22/06/1980,91
23/06/1980,76
24/06/1980,102.2
25/06/1980,80.9
26/06/1980,91.7
27/06/1980,75.3
28/06/1980,80.4
29/06/1980,79.7
30/06/1980,82.3
01/07/1980,78.1
02/07/1980,80.4
03/07/1980,72.4
04/07/1980,71.3
05/07/1980,85.3
06/07/1980,78.5
07/07/1980,71.2
08/07/1980,77.6
09/07/1980,72
10/07/1980,89.9
11/07/1980,72.8
12/07/1980,80.2
13/07/1980,91.2
14/07/1980,82.8
15/07/1980,92.9
16/07/1980,80
17/07/1980,94.1
18/07/1980,82.7
19/07/1980,84.4
20/07/1980,83
21/07/1980,80.9
22/07/1980,81.3
23/07/1980,75
24/07/1980,78.1
25/07/1980,79.1
26/07/1980,71.9
27/07/1980,76.2
28/07/1980,76.9
29/07/1980,72.1
30/07/1980,71.6
31/07/1980,72.6
01/08/1980,69.5
02/08/1980,70.8
03/08/1980,71
04/08/1980,64.5
05/08/1980,61.8
06/08/1980,66.5
07/08/1980,69.7
08/08/1980,69.5
09/08/1980,68.1
10/08/1980,76.5
11/08/1980,62.1
12/08/1980,74.9
13/08/1980,76.4
14/08/1980,88.2
15/08/1980,73
16/08/1980,73
17/08/1980,83.1
18/08/1980,79.2
19/08/1980,77
20/08/1980,97.8
21/08/1980,105.9
22/08/1980,348.6
23/08/1980,361.2
24/08/1980,182.6
25/08/1980,139.6
26/08/1980,112.8
27/08/1980,115.4
28/08/1980,100
29/08/1980,96.4
30/08/1980,101.2
31/08/1980,95.9
01/09/1980,94.2
02/09/1980,176.9
03/09/1980,144.4
04/09/1980,106.9
05/09/1980,131.6
06/09/1980,133.9
07/09/1980,132.4
08/09/1980,128.5
09/09/1980,118.1
10/09/1980,158.4
11/09/1980,175.2
12/09/1980,151.9
13/09/1980,129.4
14/09/1980,127.4
15/09/1980,118.7
16/09/1980,113.3
17/09/1980,115.5
18/09/1980,106.1
19/09/1980,109
20/09/1980,112.6
21/09/1980,104.3
22/09/1980,92.5
23/09/1980,134.7
24/09/1980,166.4
25/09/1980,119.2
26/09/1980,110.7
27/09/1980,109.1
28/09/1980,103.7
29/09/1980,214.4
30/09/1980,283.3
01/10/1980,191.1
02/10/1980,153.7
03/10/1980,140.3
04/10/1980,129.2
05/10/1980,121.8
06/10/1980,122.6
07/10/1980,116.2
08/10/1980,120.8
09/10/1980,113.9
10/10/1980,127.7
11/10/1980,114.6
12/10/1980,112.1
13/10/1980,236.3
14/10/1980,167.5
15/10/1980,148
16/10/1980,172.6
17/10/1980,163.1
18/10/1980,150.6
19/10/1980,135.1
20/10/1980,134.9
21/10/1980,128.6
22/10/1980,124.5
23/10/1980,126.7
24/10/1980,1332.6
25/10/1980,1745.6
26/10/1980,720
27/10/1980,496.5
28/10/1980,397.3
29/10/1980,323.6
30/10/1980,287.2
31/10/1980,353.6
01/11/1980,523.9
02/11/1980,354.8
03/11/1980,932.5
04/11/1980,870.6
05/11/1980,536.3
06/11/1980,494.8
07/11/1980,518.7
08/11/1980,468.8
09/11/1980,412.1
10/11/1980,378.3
11/11/1980,347.3
12/11/1980,345.6
13/11/1980,389.7
14/11/1980,313.4
15/11/1980,303.3
16/11/1980,226.7
17/11/1980,264.5
18/11/1980,244.2
19/11/1980,234.8
20/11/1980,270
21/11/1980,238.5
22/11/1980,662.7
23/11/1980,771.4
24/11/1980,648.2
25/11/1980,609.7
26/11/1980,507.7
27/11/1980,442.3
28/11/1980,402.7
29/11/1980,367.6
30/11/1980,438.7
01/12/1980,404.8
02/12/1980,372.4
03/12/1980,745.4
04/12/1980,1471.5
05/12/1980,962.5
06/12/1980,798.2
07/12/1980,700.1
08/12/1980,645.3
09/12/1980,707.1
10/12/1980,601.7
11/12/1980,548.8
12/12/1980,521
13/12/1980,538.9
14/12/1980,518.1
15/12/1980,540.8
16/12/1980,467
17/12/1980,465.7
18/12/1980,458
19/12/1980,417.5
20/12/1980,384.2
21/12/1980,385.6
22/12/1980,393.6
23/12/1980,448.4
24/12/1980,435.5
25/12/1980,480
26/12/1980,447.2
27/12/1980,460.2
28/12/1980,495.1
29/12/1980,498.8
30/12/1980,497.3
31/12/1980,510.9
01/01/1981,515.7
02/01/1981,525.8
03/01/1981,565.6
04/01/1981,562
05/01/1981,617.6
06/01/1981,813.2
07/01/1981,2563.9
08/01/1981,2026.6
09/01/1981,1330.3
10/01/1981,1074.8
11/01/1981,971.7
12/01/1981,900.5
13/01/1981,835.3
14/01/1981,763.1
15/01/1981,712.1
16/01/1981,692
17/01/1981,674.5
18/01/1981,646.9
19/01/1981,627.7
20/01/1981,598.6
21/01/1981,565.6
22/01/1981,590.6
23/01/1981,867.1
24/01/1981,808.8
25/01/1981,711.9
26/01/1981,664.7
27/01/1981,658.3
28/01/1981,1047.5
29/01/1981,996.8
30/01/1981,841
31/01/1981,836
01/02/1981,811.7
02/02/1981,799.2
03/02/1981,791.4
04/02/1981,787.1
05/02/1981,741.7
06/02/1981,700.9
07/02/1981,694.1
08/02/1981,654.9
09/02/1981,626.5
10/02/1981,598.8
11/02/1981,572.2
12/02/1981,532.7
13/02/1981,499
14/02/1981,477
15/02/1981,465.2
16/02/1981,483.3
17/02/1981,501.4
18/02/1981,499.7
19/02/1981,463.7
20/02/1981,502.7
21/02/1981,476.1
22/02/1981,457.3
23/02/1981,461.3
24/02/1981,436.7
25/02/1981,434.2
26/02/1981,416.6
27/02/1981,499.4
28/02/1981,444
01/03/1981,423
02/03/1981,469.7
03/03/1981,335.2
04/03/1981,393.2
05/03/1981,379.8
06/03/1981,396.6
07/03/1981,368.6
08/03/1981,362.4
09/03/1981,362.9
10/03/1981,350.6
11/03/1981,348.4
12/03/1981,334.1
13/03/1981,327.7
14/03/1981,326.6
15/03/1981,309.6
16/03/1981,302
17/03/1981,297.3
18/03/1981,266.8
19/03/1981,266
20/03/1981,263.2
21/03/1981,274
22/03/1981,235.8
23/03/1981,253.5
24/03/1981,236.7
25/03/1981,263.5
26/03/1981,262.1
27/03/1981,248.6
28/03/1981,224.2
29/03/1981,229.2
30/03/1981,238.6
31/03/1981,245.9
01/04/1981,242.2
02/04/1981,232.7
03/04/1981,207.8
04/04/1981,266.5
05/04/1981,250.6
06/04/1981,214.5
07/04/1981,193.3
08/04/1981,210.7
09/04/1981,211.2
10/04/1981,188.4
11/04/1981,210.8
12/04/1981,204.5
13/04/1981,191.5
14/04/1981,203.5
15/04/1981,192.1
16/04/1981,177.8
17/04/1981,185.6
18/04/1981,172.9
19/04/1981,164
20/04/1981,168.7
21/04/1981,163
22/04/1981,145.8
23/04/1981,167.4
24/04/1981,140.1
25/04/1981,158.1
26/04/1981,180.1
27/04/1981,133.1
28/04/1981,146.8
29/04/1981,154
30/04/1981,133.7
01/05/1981,156.2
02/05/1981,128.9
03/05/1981,135.3
04/05/1981,139.3
05/05/1981,131.2
06/05/1981,133.3
07/05/1981,129.7
08/05/1981,115.3
09/05/1981,130
10/05/1981,129.1
11/05/1981,119.4
12/05/1981,115.6
13/05/1981,118.8
14/05/1981,121.8
15/05/1981,117.2
16/05/1981,119.4
17/05/1981,103.7
18/05/1981,108
19/05/1981,113.5
20/05/1981,115.3
21/05/1981,103.7
22/05/1981,87.6
23/05/1981,96.6
24/05/1981,108.2
25/05/1981,104.8
26/05/1981,97.3
27/05/1981,100.8
28/05/1981,81.9
29/05/1981,102.1
30/05/1981,95.6
31/05/1981,91.2
01/06/1981,99.4
02/06/1981,94.2
03/06/1981,93.3
04/06/1981,81.8
05/06/1981,87.4
06/06/1981,90.2
07/06/1981,82.7
08/06/1981,86.3
09/06/1981,82.1
10/06/1981,83.2
11/06/1981,76.9
12/06/1981,90.6
13/06/1981,73
14/06/1981,81.5
15/06/1981,81.3
16/06/1981,76.9
17/06/1981,75.9
18/06/1981,80.4
19/06/1981,75.3
20/06/1981,78.9
21/06/1981,71
22/06/1981,94.9
23/06/1981,65
24/06/1981,78.1
25/06/1981,70.4
26/06/1981,72.4
27/06/1981,65.5
28/06/1981,76
29/06/1981,64.1
30/06/1981,74.9
01/07/1981,70.6
02/07/1981,60.9
03/07/1981,65.1
04/07/1981,67.9
05/07/1981,64.6
06/07/1981,64.4
07/07/1981,60.8
08/07/1981,60
09/07/1981,68.7
10/07/1981,66.4
11/07/1981,62.2
12/07/1981,68.3
13/07/1981,59
14/07/1981,63.2
15/07/1981,66.7
16/07/1981,59.7
17/07/1981,66.1
18/07/1981,57.1
19/07/1981,58.3
20/07/1981,64
21/07/1981,62
22/07/1981,60.4
23/07/1981,59.3
24/07/1981,56.7
25/07/1981,65.3
26/07/1981,73
27/07/1981,66.1
28/07/1981,75.2
29/07/1981,92.1
30/07/1981,73.1
31/07/1981,74
01/08/1981,72.8
02/08/1981,71.3
03/08/1981,73.4
04/08/1981,65.6
05/08/1981,67.7
06/08/1981,66.7
07/08/1981,61.7
08/08/1981,70.6
09/08/1981,59.2
10/08/1981,56.9
11/08/1981,64.2
12/08/1981,59.5
13/08/1981,62.6
14/08/1981,59.5
15/08/1981,60.1
16/08/1981,64.3
17/08/1981,56.7
18/08/1981,97.1
19/08/1981,107.3
20/08/1981,79.8
21/08/1981,76
22/08/1981,70.5
23/08/1981,64.6
24/08/1981,64.5
25/08/1981,64
26/08/1981,65.3
27/08/1981,57.6
28/08/1981,59.2
29/08/1981,63.1
30/08/1981,59.7
31/08/1981,58.2
01/09/1981,63.7
02/09/1981,69.7
03/09/1981,105.7
04/09/1981,76.8
05/09/1981,70.9
06/09/1981,60.6
07/09/1981,70.2
08/09/1981,67.6
09/09/1981,63
10/09/1981,54.4
11/09/1981,123.7
12/09/1981,286
13/09/1981,129.2
14/09/1981,101.3
15/09/1981,90.4
16/09/1981,79.2
17/09/1981,76.9
18/09/1981,71.7
19/09/1981,70.8
20/09/1981,68.1
21/09/1981,67.2
22/09/1981,70.3
23/09/1981,70.8
24/09/1981,63.3
25/09/1981,66.9
26/09/1981,89
27/09/1981,20.7
28/09/1981,56.4
29/09/1981,84.5
30/09/1981,59
01/10/1981,53.8
02/10/1981,60.3
03/10/1981,69.3
04/10/1981,46.2
05/10/1981,53.7
06/10/1981,62.6
07/10/1981,317.6
08/10/1981,158.2
09/10/1981,86.8
10/10/1981,84.1
11/10/1981,63.2
12/10/1981,69.4
13/10/1981,79.7
14/10/1981,85.2
15/10/1981,49.2
16/10/1981,56.9
17/10/1981,52.3
18/10/1981,56.3
19/10/1981,620.9
20/10/1981,398.3
21/10/1981,179.9
22/10/1981,147.7
23/10/1981,120.1
24/10/1981,113.8
25/10/1981,108.8
26/10/1981,94.5
27/10/1981,88.5
28/10/1981,100.8
29/10/1981,279.8
30/10/1981,319.1
31/10/1981,201.9
01/11/1981,159.4
02/11/1981,141.2
03/11/1981,131.7
04/11/1981,133
05/11/1981,111.8
06/11/1981,99.5
07/11/1981,84.6
08/11/1981,105
09/11/1981,107.3
10/11/1981,647.1
11/11/1981,851.9
12/11/1981,379.5
13/11/1981,295
14/11/1981,322.6
15/11/1981,244.6
16/11/1981,211.5
17/11/1981,193
18/11/1981,213.3
19/11/1981,176.1
20/11/1981,143.1
21/11/1981,133.5
22/11/1981,153.1
23/11/1981,155.2
24/11/1981,157
25/11/1981,147.1
26/11/1981,395.9
27/11/1981,463.6
28/11/1981,331.9
29/11/1981,282.4
30/11/1981,350.7
01/12/1981,336.8
02/12/1981,213.6
03/12/1981,217.2
04/12/1981,360.7
05/12/1981,264.9
06/12/1981,282.1
07/12/1981,432.9
08/12/1981,354.8
09/12/1981,337.1
10/12/1981,334.8
11/12/1981,298.2
12/12/1981,270.1
13/12/1981,433.2
14/12/1981,615.9
15/12/1981,506.4
16/12/1981,452.9
17/12/1981,418.2
18/12/1981,663.1
19/12/1981,457.6
20/12/1981,405.5
21/12/1981,408.8
22/12/1981,433.9
23/12/1981,445.3
24/12/1981,402
25/12/1981,499.1
26/12/1981,557.5
27/12/1981,475.4
28/12/1981,446.5
29/12/1981,468.4
30/12/1981,597.1
31/12/1981,565.2
01/01/1982,508
02/01/1982,481.7
03/01/1982,458.5
04/01/1982,474.6
05/01/1982,1026.1
06/01/1982,948.9
07/01/1982,742.9
08/01/1982,651.4
09/01/1982,512.3
10/01/1982,536.5
11/01/1982,497.3
12/01/1982,469
13/01/1982,472.8
14/01/1982,491
15/01/1982,521.7
16/01/1982,546.7
17/01/1982,567.9
18/01/1982,598
19/01/1982,990.6
20/01/1982,1103.2
21/01/1982,882
22/01/1982,775.5
23/01/1982,728.6
24/01/1982,692.7
25/01/1982,689.1
26/01/1982,707.8
27/01/1982,698.2
28/01/1982,737
29/01/1982,724.6
30/01/1982,749.1
31/01/1982,749.3
01/02/1982,713.3
02/02/1982,667.4
03/02/1982,648.5
04/02/1982,615.2
05/02/1982,614.8
06/02/1982,603.1
07/02/1982,615.1
08/02/1982,651.9
09/02/1982,608.2
10/02/1982,570
11/02/1982,553.3
12/02/1982,536.2
13/02/1982,541
14/02/1982,528.9
15/02/1982,543.8
16/02/1982,613.6
17/02/1982,571.6
18/02/1982,541.7
19/02/1982,527.7
20/02/1982,484.9
21/02/1982,433.4
22/02/1982,415.8
23/02/1982,402.7
24/02/1982,404.6
25/02/1982,388.1
26/02/1982,381.5
27/02/1982,363.8
28/02/1982,343.9
01/03/1982,326.4
02/03/1982,330.3
03/03/1982,337.5
04/03/1982,328
05/03/1982,324.9
06/03/1982,309.4
07/03/1982,318.5
08/03/1982,321.8
09/03/1982,300.1
10/03/1982,284.5
11/03/1982,284.2
12/03/1982,274.5
13/03/1982,249.3
14/03/1982,253.9
15/03/1982,249.5
16/03/1982,240.6
17/03/1982,241.2
18/03/1982,219.5
19/03/1982,212.2
20/03/1982,208.2
21/03/1982,206.8
22/03/1982,208.8
23/03/1982,192.3
24/03/1982,199.5
25/03/1982,185.9
26/03/1982,188.5
27/03/1982,182.6
28/03/1982,187.6
29/03/1982,176.2
30/03/1982,168.7
31/03/1982,169.4
01/04/1982,168.4
02/04/1982,163.3
03/04/1982,168
04/04/1982,157.4
05/04/1982,148.4
06/04/1982,146.5
07/04/1982,151.2
08/04/1982,116.8
09/04/1982,149.6
10/04/1982,133.6
11/04/1982,190.7
12/04/1982,98
13/04/1982,174
14/04/1982,132.6
15/04/1982,142.3
16/04/1982,132.7
17/04/1982,128.3
18/04/1982,123.9
19/04/1982,130
20/04/1982,124.7
21/04/1982,131.2
22/04/1982,122.1
23/04/1982,116.7
24/04/1982,115.9
25/04/1982,125
26/04/1982,107.9
27/04/1982,107.4
28/04/1982,113.5
29/04/1982,100.1
30/04/1982,116.2
01/05/1982,110.3
02/05/1982,94.9
03/05/1982,106.4
04/05/1982,101.1
05/05/1982,102.4
06/05/1982,95.6
07/05/1982,94.5
08/05/1982,83
09/05/1982,95.6
10/05/1982,99.4
11/05/1982,93.1
12/05/1982,94.6
13/05/1982,93.4
14/05/1982,88.3
15/05/1982,90.4
16/05/1982,92.3
17/05/1982,86.2
18/05/1982,83.7
19/05/1982,91.7
20/05/1982,82.3
21/05/1982,86.8
22/05/1982,82.4
23/05/1982,80.8
24/05/1982,82.3
25/05/1982,78.8
26/05/1982,82.1
27/05/1982,78
28/05/1982,76.7
29/05/1982,79.3
30/05/1982,74.1
31/05/1982,71.5
01/06/1982,76.3
02/06/1982,74.5
03/06/1982,74.1
04/06/1982,71
05/06/1982,69.6
06/06/1982,70.5
07/06/1982,65.1
08/06/1982,68.5
09/06/1982,72.5
10/06/1982,69
11/06/1982,68
12/06/1982,63
13/06/1982,67.6
14/06/1982,67.8
15/06/1982,64
16/06/1982,63.7
17/06/1982,51.9
18/06/1982,87.3
19/06/1982,119.2
20/06/1982,72.9
21/06/1982,53
22/06/1982,54
23/06/1982,59.8
24/06/1982,57.4
25/06/1982,63.5
26/06/1982,49
27/06/1982,55.8
28/06/1982,55.3
29/06/1982,56.3
30/06/1982,54.6
01/07/1982,48.4
02/07/1982,56.7
03/07/1982,54.7
04/07/1982,53.6
05/07/1982,57.3
06/07/1982,45.5
07/07/1982,55.3
08/07/1982,46.2
09/07/1982,56.8
10/07/1982,52
11/07/1982,55.2
12/07/1982,50.8
13/07/1982,41.4
14/07/1982,56.6
15/07/1982,57.3
16/07/1982,132.5
17/07/1982,108.5
18/07/1982,102.5
19/07/1982,72.5
20/07/1982,67.9
21/07/1982,78.1
22/07/1982,116.4
23/07/1982,135.9
24/07/1982,90.1
25/07/1982,72.3
26/07/1982,76
27/07/1982,68.5
28/07/1982,77.1
29/07/1982,63.2
30/07/1982,66.3
31/07/1982,65.2
01/08/1982,63.8
02/08/1982,70.4
03/08/1982,63.5
04/08/1982,64.7
05/08/1982,62.3
06/08/1982,61.3
07/08/1982,70.3
08/08/1982,80.9
09/08/1982,77.8
10/08/1982,145.9
11/08/1982,422.2
12/08/1982,166.9
13/08/1982,119.7
14/08/1982,135.3
15/08/1982,155.8
16/08/1982,120.6
17/08/1982,104
18/08/1982,93.8
19/08/1982,89.2
20/08/1982,88
21/08/1982,91.1
22/08/1982,361.6
23/08/1982,796.1
24/08/1982,490.6
25/08/1982,281.4
26/08/1982,200.5
27/08/1982,170.5
28/08/1982,156.9
29/08/1982,143.2
30/08/1982,142.6
31/08/1982,126.2
01/09/1982,127
02/09/1982,116.9
03/09/1982,123.6
04/09/1982,113.9
05/09/1982,107.2
06/09/1982,123.1
07/09/1982,187
08/09/1982,150.1
09/09/1982,127.7
10/09/1982,115.5
11/09/1982,117.2
12/09/1982,114.2
13/09/1982,105.1
14/09/1982,106.3
15/09/1982,99.1
16/09/1982,94.5
17/09/1982,207.2
18/09/1982,459.8
19/09/1982,202.9
20/09/1982,161.8
21/09/1982,146.7
22/09/1982,134.3
23/09/1982,120
24/09/1982,117.4
25/09/1982,111.5
26/09/1982,186.1
27/09/1982,149.7
28/09/1982,125.5
29/09/1982,117.8
30/09/1982,106.3
01/10/1982,106.2
02/10/1982,104.1
03/10/1982,115.8
04/10/1982,297
05/10/1982,259.9
06/10/1982,147.2
07/10/1982,142.9
08/10/1982,138.3
09/10/1982,123.4
10/10/1982,122.1
11/10/1982,122.9
12/10/1982,249.2
13/10/1982,233.6
14/10/1982,197.2
15/10/1982,248.2
16/10/1982,248.8
17/10/1982,209
18/10/1982,191.3
19/10/1982,176.2
20/10/1982,160.4
21/10/1982,149
22/10/1982,315.7
23/10/1982,229.5
24/10/1982,182.7
25/10/1982,172.4
26/10/1982,166.3
27/10/1982,161.1
28/10/1982,542.3
29/10/1982,357
30/10/1982,285.2
31/10/1982,245.1
01/11/1982,324.9
02/11/1982,310.7
03/11/1982,283.1
04/11/1982,254.5
05/11/1982,236.4
06/11/1982,714.8
07/11/1982,432.4
08/11/1982,357.9
09/11/1982,316.5
10/11/1982,288
11/11/1982,254.4
12/11/1982,235.2
13/11/1982,224.4
14/11/1982,224.9
15/11/1982,201.7
16/11/1982,206.2
17/11/1982,280.6
18/11/1982,226.9
19/11/1982,216.4
20/11/1982,209.9
21/11/1982,212.7
22/11/1982,210.2
23/11/1982,196.2
24/11/1982,205.2
25/11/1982,198.4
26/11/1982,193.9
27/11/1982,200
28/11/1982,198.2
29/11/1982,203
30/11/1982,575.9
01/12/1982,478.1
02/12/1982,431.5
03/12/1982,522.1
04/12/1982,438.8
05/12/1982,397
06/12/1982,359.6
07/12/1982,338.9
08/12/1982,315.3
09/12/1982,296.4
10/12/1982,282.2
11/12/1982,282.6
12/12/1982,272.1
13/12/1982,261.9
14/12/1982,255.6
15/12/1982,254.7
16/12/1982,253.3
17/12/1982,369.3
18/12/1982,379.8
19/12/1982,329.1
20/12/1982,316.8
21/12/1982,302.4
22/12/1982,287.9
23/12/1982,285.6
24/12/1982,288.7
25/12/1982,311.4
26/12/1982,365.4
27/12/1982,477.1
28/12/1982,642.4
29/12/1982,455.9
30/12/1982,442
31/12/1982,415.6
01/01/1983,407.65
02/01/1983,412.8
03/01/1983,440.32
04/01/1983,336.6
05/01/1983,470.73
06/01/1983,429.22
07/01/1983,396.23
08/01/1983,469.6
09/01/1983,457.88
10/01/1983,537.49
11/01/1983,607.26
12/01/1983,832.66
13/01/1983,325.59
14/01/1983,490.66
15/01/1983,527.56
16/01/1983,520.72
17/01/1983,569.02
18/01/1983,602.41
19/01/1983,631.64
20/01/1983,666.77
21/01/1983,702.67
22/01/1983,703.38
23/01/1983,668.27
24/01/1983,644.13
25/01/1983,614
26/01/1983,609.57
27/01/1983,611.18
28/01/1983,716.19
29/01/1983,634.64
30/01/1983,662.9
31/01/1983,582.22
01/02/1983,698.07
02/02/1983,688.83
03/02/1983,871.43
04/02/1983,1009.25
05/02/1983,1207.88
06/02/1983,1072.19
07/02/1983,927.13
08/02/1983,902.01
09/02/1983,912.87
10/02/1983,940.41
11/02/1983,635.64
12/02/1983,789.75
13/02/1983,717.13
14/02/1983,754.88
15/02/1983,707.58
16/02/1983,781.01
17/02/1983,897.24
18/02/1983,896.66
19/02/1983,866.42
20/02/1983,855.46
21/02/1983,754.17
22/02/1983,705.94
23/02/1983,665.74
24/02/1983,652.93
25/02/1983,507.83
26/02/1983,634.52
27/02/1983,587.87
28/02/1983,571.74
01/03/1983,557.81
02/03/1983,532.71
03/03/1983,544.66
04/03/1983,506.92
05/03/1983,482.93
06/03/1983,501.66
07/03/1983,488.51
08/03/1983,474.16
09/03/1983,448.95
10/03/1983,592.15
11/03/1983,427
12/03/1983,477.1
13/03/1983,485.24
14/03/1983,418.39
15/03/1983,415.4
16/03/1983,402.8
17/03/1983,403.8
18/03/1983,376.4
19/03/1983,405.31
20/03/1983,376.23
21/03/1983,366.66
22/03/1983,352.56
23/03/1983,351.82
24/03/1983,345.34
25/03/1983,321.58
26/03/1983,282.93
27/03/1983,275.76
28/03/1983,298.14
29/03/1983,261.99
30/03/1983,287.87
31/03/1983,282.31
01/04/1983,252.89
02/04/1983,243.23
03/04/1983,238.35
04/04/1983,229.85
05/04/1983,231.86
06/04/1983,224.82
07/04/1983,223.33
08/04/1983,218.8
09/04/1983,209.62
10/04/1983,208.99
11/04/1983,194.16
12/04/1983,205.51
13/04/1983,192.98
14/04/1983,197.89
15/04/1983,200.66
16/04/1983,190.25
17/04/1983,184.7
18/04/1983,181.88
19/04/1983,179.34
20/04/1983,179.23
21/04/1983,177.15
22/04/1983,171.78
23/04/1983,167.15
24/04/1983,163
25/04/1983,169.05
26/04/1983,166.04
27/04/1983,156.19
28/04/1983,153.87
29/04/1983,157.22
30/04/1983,147.11
01/05/1983,161.49
02/05/1983,142.43
03/05/1983,146.54
04/05/1983,129.54
05/05/1983,146.69
06/05/1983,128.97
07/05/1983,139.3
08/05/1983,133.01
09/05/1983,127.21
10/05/1983,135.69
11/05/1983,125.36
12/05/1983,129.01
13/05/1983,120.14
14/05/1983,126.65
15/05/1983,119.3
16/05/1983,128.76
17/05/1983,109.76
18/05/1983,117.63
19/05/1983,118.28
20/05/1983,111.23
21/05/1983,116.23
22/05/1983,106.09
23/05/1983,121.21
24/05/1983,101.45
25/05/1983,121.43
26/05/1983,81.47
27/05/1983,109.44
28/05/1983,98.22
29/05/1983,100.4
30/05/1983,106.49
31/05/1983,96.08
01/06/1983,94.33
02/06/1983,93.01
03/06/1983,92.5
04/06/1983,87.61
05/06/1983,90.34
06/06/1983,86.27
07/06/1983,90.42
08/06/1983,88.93
09/06/1983,90.12
10/06/1983,86.27
11/06/1983,78.63
12/06/1983,82.26
13/06/1983,82.9
14/06/1983,82.11
